"cluster_id","Brk_dispersion_MAD_mean_total","Loss_size_percentage","Gain_size_percentage","log_max_CN","max_telo_loss_percentage","CGR_signature"
"3db6e6cc-1a06-49b9-834e-b6611cde4c4b_1_6_7_12_X",1.9878879574503,0,0.839153944132816,3.7145040333473,0,"1 ecDNA/double minutes"
"18f5e75e-c623-11e3-bf01-24c6515278c0_4_19",0.110353705520468,0,2.69933265848472,1.79497093150623,4.05497228474089,"2 BFB cycles/chromatin bridge"
"07f16397-71bb-4594-ad4d-caa7d2baeabd_6",2.95531725671231,3.54391863657157,0,0.597845242457919,0,"3 Large loss"
"2b6d4d66-7f0b-4bc0-b3d6-171956a937c5_10",2.08662021880922,3.32263413540943,0,0.597845242457919,0,"3 Large loss"
"2b6d4d66-7f0b-4bc0-b3d6-171956a937c5_12",1.70287975125034,3.04129211184089,0,0.597845242457919,0.596170844865565,"3 Large loss"
"07f16397-71bb-4594-ad4d-caa7d2baeabd_3",0.325391201287408,0.661567390876793,0,0.597845242457919,0,"4 Micronuclei"
"07f16397-71bb-4594-ad4d-caa7d2baeabd_7",0.782095286215697,0.680882641046298,0,0.597845242457919,0,"4 Micronuclei"
"2b6d4d66-7f0b-4bc0-b3d6-171956a937c5_18",0,1.27279362694099,0.723407955316531,0.947853790078873,0,"4 Micronuclei"
"2b6d4d66-7f0b-4bc0-b3d6-171956a937c5_6",1.3865036590833,1.23550434841984,0.0510396460460144,0.947853790078873,1.07840240646933,"4 Micronuclei"
"c00de7a0-0b09-4e07-988c-ef2a7f8e932a_5_13",1.21726547099241,0,0.359008948991676,1.38899855557231,0,"4 Micronuclei"
"fc8130df-897d-5404-e040-11ac0d485e0a_6_9_10_14_16_20",1.75257370540341,0.331061721560614,1.17810058195846,2.07003189439238,0.0808555934200745,"5 Large gain"
"07f16397-71bb-4594-ad4d-caa7d2baeabd_12",1.95987086327427,0.264878210239678,0,0.597845242457919,0,"6 Hourglass"
"07f16397-71bb-4594-ad4d-caa7d2baeabd_5",3.13352131377713,0.032028017842997,0,0.597845242457919,0,"6 Hourglass"
"07f16397-71bb-4594-ad4d-caa7d2baeabd_X",2.54279625608942,0,0,0,0,"6 Hourglass"
"2b6d4d66-7f0b-4bc0-b3d6-171956a937c5_X",2.9504652298016,0.178070387066846,0.00663816060366884,0.947853790078873,0,"6 Hourglass"
"fc8130df-897d-5404-e040-11ac0d485e0a_2_3_7_17",1.70132335429669,0.726652708747629,0.148991505224193,1.19627521952741,0.28193397870554,"6 Hourglass"
